crop,location,soil_type,growing_season,ph,temperature,rainfall,humidity,irrigation,fertilizer,previous_yield,area,n_content,p_content,k_content,yield
Rice,Pacific Northwest,Clay,Summer,5.4,22.0,1147.5,78.4,191.1,126.7,3.18,13.5,95.4,54.8,116.0,3.51
Cotton,Midwest,Clay,Summer,7.97,25.6,1038.0,41.8,208.6,85.7,1.79,41.9,104.5,75.6,109.6,1.71
Potato,Great Plains,Alluvial,Kharif,6.1,30.5,807.5,66.8,266.6,207.7,14.56,41.9,151.9,77.2,55.4,14.16
Wheat,Southeast,Loamy,Summer,7.08,32.8,1177.9,59.5,576.2,248.9,3.65,49.2,145.2,64.4,51.4,3.25
Rice,Southeast,Silt Loam,Kharif,5.91,25.0,1728.6,50.8,341.9,75.8,3.85,25.4,149.9,69.4,111.3,3.52
Potato,Delta Region,Loamy,Spring,5.66,22.8,1051.0,83.7,348.3,125.3,13.55,45.3,147.7,21.9,118.2,13.87
Tomato,Pacific Northwest,Clay,Rabi,6.58,30.3,1107.4,40.2,845.9,208.0,18.6,36.5,123.2,21.1,66.7,17.34
Rice,Central Valley,Black Soil,Summer,7.48,28.8,654.3,50.0,329.3,172.4,4.52,2.1,148.2,62.0,47.3,3.95
Wheat,Southeast,Loamy,Kharif,6.88,18.0,1136.7,67.5,316.8,267.0,3.11,48.0,152.6,55.2,37.1,3.29
Corn,Delta Region,Sandy Loam,Autumn,5.59,25.4,1329.5,45.3,143.0,148.1,5.6,22.7,65.1,56.7,79.3,4.84
Cotton,Pacific Northwest,Alluvial,Spring,6.14,32.3,1383.7,73.5,526.8,273.9,2.08,31.2,145.8,47.6,33.2,1.72
Cotton,Pacific Northwest,Silt Loam,Kharif,7.25,30.2,1024.8,51.6,279.0,248.1,1.87,23.3,126.4,78.9,59.2,1.93
Soybean,Pacific Northwest,Sandy Loam,Summer,5.29,25.5,859.6,63.1,236.6,226.6,2.23,23.2,124.6,23.9,30.3,2.19
Cotton,Pacific Northwest,Loamy,Summer,5.41,22.0,1018.4,69.5,290.9,106.0,1.66,28.3,62.3,48.8,26.6,1.8
Wheat,Pacific Northwest,Black Soil,Spring,6.51,31.7,1139.6,51.8,630.1,67.9,4.3,39.4,170.3,55.2,68.7,3.44
Tomato,Delta Region,Silt Loam,Summer,7.67,19.5,1736.0,43.5,187.0,237.2,16.8,28.2,148.0,41.5,69.4,17.02
Soybean,Central Valley,Loamy,Rabi,7.86,34.1,1272.4,40.0,217.4,84.3,2.72,41.0,114.4,42.3,77.8,2.2
Wheat,Midwest,Alluvial,Summer,7.58,29.6,1681.8,86.8,674.2,260.5,3.0,15.7,178.6,55.8,81.1,2.81
Tomato,Great Plains,Clay,Summer,7.9,35.4,351.2,68.0,883.0,75.2,14.37,4.1,79.5,17.2,63.2,14.08
Tomato,Great Plains,Alluvial,Summer,6.42,24.7,656.3,48.7,211.3,177.7,15.29,35.9,158.1,40.2,61.7,17.23
Corn,Pacific Northwest,Clay,Rabi,7.15,18.9,1633.1,72.9,880.0,81.2,4.58,1.6,59.2,71.4,106.0,4.18
Cotton,Pacific Northwest,Black Soil,Spring,6.56,24.5,1539.1,59.2,280.6,147.7,2.22,31.5,41.0,49.9,93.1,1.97
Soybean,Delta Region,Sandy Loam,Spring,6.93,16.7,404.9,64.2,394.9,183.5,2.52,46.4,174.6,20.6,93.0,2.17
Tomato,Southeast,Silt Loam,Autumn,7.87,17.8,1035.1,77.1,868.3,68.0,17.87,4.8,128.7,70.9,51.2,16.32
Rice,Southeast,Black Soil,Kharif,6.74,25.4,1414.0,61.1,868.5,233.6,3.16,24.0,80.5,17.5,112.3,3.57
Soybean,Southeast,Alluvial,Autumn,7.09,27.6,1180.6,72.8,333.4,219.6,2.25,13.8,43.8,48.9,32.7,2.35
Rice,Southeast,Sandy Loam,Rabi,6.03,21.1,1425.1,70.2,828.1,220.0,3.96,31.2,132.3,40.9,37.5,3.91
Cotton,Pacific Northwest,Clay,Spring,6.78,16.7,1776.9,88.4,576.4,239.0,1.63,9.9,157.3,67.7,61.3,1.57
Potato,Midwest,Alluvial,Spring,5.7,27.6,1570.7,42.7,311.5,238.5,13.14,36.6,47.4,47.5,67.6,12.99
Potato,Pacific Northwest,Black Soil,Rabi,7.32,25.5,560.5,83.5,109.5,263.3,13.11,19.6,102.8,62.5,116.2,13.66
Soybean,Central Valley,Loamy,Autumn,8.07,24.6,1681.2,82.9,368.0,111.4,2.67,32.2,53.8,60.8,59.1,2.15
Cotton,Pacific Northwest,Alluvial,Rabi,6.97,19.9,839.2,74.5,243.9,176.0,1.58,37.0,134.2,73.2,21.2,1.73
Rice,Delta Region,Loamy,Spring,7.38,21.0,399.4,71.0,145.5,186.7,3.49,18.2,165.2,30.2,79.9,3.53
Rice,Pacific Northwest,Loamy,Kharif,5.59,29.1,1654.9,68.3,873.7,256.1,3.92,43.0,137.4,32.7,66.7,3.47
Rice,Pacific Northwest,Silt Loam,Summer,7.28,29.4,1466.7,52.9,724.6,113.8,4.68,38.7,48.7,42.2,119.6,4.23
Corn,Southeast,Clay,Spring,8.14,20.0,919.3,72.3,186.7,174.3,4.18,4.4,100.4,58.0,30.6,3.91
Potato,Pacific Northwest,Sandy Loam,Kharif,5.41,30.6,1477.0,40.9,498.2,200.2,15.12,2.7,40.1,17.6,59.0,13.17
Wheat,Pacific Northwest,Sandy Loam,Spring,6.75,34.8,1061.5,61.8,775.2,229.6,3.52,29.2,150.0,52.8,20.3,3.44
Soybean,Great Plains,Loamy,Autumn,8.17,22.7,789.1,42.8,897.6,198.8,2.14,27.2,91.1,74.7,54.0,2.02
Cotton,Great Plains,Sandy Loam,Rabi,5.32,23.7,627.0,74.8,817.2,195.0,1.43,9.7,90.3,20.9,83.3,1.5
Soybean,Midwest,Clay,Kharif,7.36,27.9,1059.4,43.1,532.4,120.8,2.19,10.5,114.8,73.4,64.9,2.29
Rice,Central Valley,Sandy Loam,Kharif,7.36,24.1,656.9,72.7,518.5,266.2,3.5,17.5,161.8,52.6,94.1,3.65
Wheat,Central Valley,Loamy,Rabi,5.26,34.1,1246.6,52.1,619.0,53.3,3.19,25.0,128.6,78.3,102.1,3.03
Rice,Great Plains,Black Soil,Rabi,5.39,32.3,515.6,69.7,592.5,64.5,5.24,41.9,68.4,38.6,103.6,3.98
Soybean,Pacific Northwest,Silt Loam,Summer,7.25,26.9,816.3,88.2,270.6,60.5,2.04,6.9,64.3,19.4,47.4,2.18
Cotton,Great Plains,Clay,Summer,6.52,34.5,409.0,45.0,777.9,190.9,1.98,28.1,148.9,16.1,68.7,1.96
Rice,Central Valley,Clay,Kharif,6.98,21.7,1355.6,79.6,480.8,79.2,4.13,35.6,60.0,34.0,65.0,3.66
Wheat,Midwest,Black Soil,Kharif,7.35,28.2,477.6,81.3,341.0,146.3,3.48,30.2,118.1,28.4,118.7,3.29
Rice,Delta Region,Sandy Loam,Autumn,6.59,28.5,651.8,42.7,190.1,84.3,4.27,25.9,158.1,78.8,69.8,4.01
Wheat,Pacific Northwest,Loamy,Kharif,6.06,24.7,834.7,80.3,706.7,60.0,3.71,32.6,143.7,79.7,37.6,3.54
Cotton,Central Valley,Silt Loam,Autumn,7.89,30.4,1209.4,56.3,259.0,205.7,2.17,6.7,85.6,69.5,52.6,1.95
Rice,Midwest,Alluvial,Spring,6.33,20.4,1032.9,64.2,812.4,83.3,3.7,43.6,169.9,46.8,58.7,3.68
Wheat,Great Plains,Alluvial,Rabi,8.13,20.0,534.5,74.6,147.7,81.4,3.78,32.0,159.2,47.1,37.1,3.05
Corn,Midwest,Sandy Loam,Autumn,7.58,35.1,1663.1,68.9,542.2,102.8,4.85,8.7,97.6,51.5,106.2,4.1
Wheat,Delta Region,Silt Loam,Spring,7.39,30.7,707.6,56.4,563.6,255.1,3.21,14.7,122.8,25.4,77.4,3.22
Rice,Great Plains,Loamy,Kharif,7.4,26.1,967.3,59.7,747.8,210.2,3.91,49.6,53.7,49.7,28.3,3.93
Cotton,Central Valley,Alluvial,Spring,5.6,21.9,1289.1,44.5,483.8,120.1,1.43,47.5,138.5,75.1,94.7,1.61
Rice,Great Plains,Silt Loam,Rabi,6.42,31.8,887.1,63.2,606.7,247.9,4.17,43.8,49.9,77.5,53.3,4.45
Rice,Southeast,Silt Loam,Summer,7.04,27.5,650.4,74.2,596.4,127.2,3.62,35.2,170.5,51.0,111.0,3.81
Corn,Central Valley,Loamy,Spring,7.06,23.3,604.1,67.9,153.6,213.1,4.77,18.9,68.7,83.7,43.9,5.01
Rice,Pacific Northwest,Silt Loam,Autumn,7.31,31.1,1453.3,56.0,818.3,165.8,3.75,43.7,99.2,18.8,57.3,3.66
Potato,Great Plains,Black Soil,Autumn,6.61,26.6,1546.8,85.0,461.6,134.7,15.82,41.6,134.3,63.5,117.8,14.13
Rice,Midwest,Silt Loam,Kharif,7.89,21.8,1737.1,45.5,320.8,210.3,3.55,4.9,109.5,76.2,72.1,3.35
Soybean,Central Valley,Sandy Loam,Spring,6.82,18.6,852.7,62.2,615.7,117.0,2.55,48.5,48.8,76.0,43.2,2.14
Tomato,Pacific Northwest,Sandy Loam,Spring,7.17,31.7,1054.9,73.3,524.1,176.1,18.36,29.4,104.1,54.7,109.8,17.38
Corn,Midwest,Sandy Loam,Rabi,8.11,31.4,418.6,57.7,464.7,88.3,5.42,24.7,169.4,64.8,48.5,4.25
Wheat,Pacific Northwest,Alluvial,Rabi,5.55,35.9,1183.1,62.0,395.7,97.2,2.93,8.9,139.0,61.6,117.8,2.91
Wheat,Southeast,Silt Loam,Autumn,6.8,18.4,386.1,86.6,714.8,268.0,3.95,48.8,169.9,25.9,117.0,3.64
Tomato,Delta Region,Sandy Loam,Summer,6.07,34.9,1772.0,68.7,217.7,180.0,16.5,24.2,167.0,45.9,88.9,17.17
Soybean,Great Plains,Loamy,Rabi,5.55,16.5,1245.4,51.0,385.9,125.1,1.72,34.2,125.1,28.7,72.6,1.7
Cotton,Southeast,Clay,Kharif,7.75,29.5,1738.6,88.8,415.5,162.8,1.92,5.1,124.4,50.8,25.6,1.66
Soybean,Southeast,Silt Loam,Rabi,6.48,23.7,367.7,57.2,346.5,152.5,1.86,36.1,118.5,30.1,108.8,2.13
Soybean,Great Plains,Silt Loam,Summer,7.38,34.0,1406.5,60.7,768.4,187.5,2.28,9.0,60.1,36.2,118.8,2.01
Tomato,Southeast,Loamy,Autumn,5.47,24.2,1675.9,60.7,544.7,213.4,14.54,38.0,145.7,24.6,38.6,16.34
Potato,Southeast,Black Soil,Spring,7.68,32.7,790.7,68.0,470.8,56.2,15.91,3.1,40.3,33.4,115.6,13.7
Cotton,Pacific Northwest,Silt Loam,Kharif,7.88,24.3,1063.2,74.4,295.8,77.5,2.3,33.0,78.8,84.6,26.7,1.83
Soybean,Southeast,Black Soil,Spring,7.81,28.6,1040.3,74.7,195.7,167.9,1.7,28.7,120.5,74.2,36.3,1.89
Rice,Midwest,Sandy Loam,Spring,5.61,19.3,745.4,61.0,829.7,131.9,3.77,44.0,80.6,52.1,113.6,3.53
Tomato,Midwest,Alluvial,Rabi,7.0,19.3,817.8,55.8,776.0,234.0,17.35,38.5,78.0,63.9,56.3,17.94
Tomato,Delta Region,Sandy Loam,Rabi,6.75,23.5,1053.1,57.0,828.6,73.6,14.62,1.6,61.6,30.5,38.8,17.28
Tomato,Delta Region,Alluvial,Autumn,7.34,30.0,1513.7,60.9,832.8,76.8,17.78,42.5,58.4,16.2,54.8,17.71
Soybean,Southeast,Clay,Spring,6.99,31.3,846.0,75.5,123.0,237.4,2.31,44.6,71.1,75.0,34.2,2.31
Wheat,Southeast,Clay,Rabi,5.44,29.8,1486.8,43.9,719.8,224.2,3.47,7.4,46.0,22.5,99.3,3.0
Tomato,Delta Region,Loamy,Spring,5.96,17.3,1318.0,77.7,725.9,261.6,19.74,6.8,68.8,78.1,38.5,18.64
Corn,Central Valley,Loamy,Rabi,8.03,35.0,854.4,48.0,500.5,217.6,4.74,42.4,73.9,54.9,29.9,4.5
Tomato,Central Valley,Black Soil,Rabi,8.09,19.4,1443.3,40.2,680.3,262.6,17.76,36.1,168.9,74.6,67.5,17.05
Soybean,Delta Region,Clay,Spring,5.52,32.7,1772.9,61.2,511.4,143.7,1.98,34.0,146.6,37.0,66.6,2.03
Tomato,Midwest,Silt Loam,Summer,6.87,16.8,825.8,45.8,326.9,188.1,17.89,35.5,83.7,83.3,64.4,16.72
Tomato,Great Plains,Sandy Loam,Spring,5.41,32.8,1039.7,74.0,243.4,279.7,18.35,10.3,108.8,22.4,63.8,16.29
Soybean,Pacific Northwest,Loamy,Kharif,6.4,27.8,497.5,86.3,882.3,64.9,2.48,8.0,176.5,38.7,79.5,2.28
Potato,Central Valley,Clay,Spring,6.04,30.3,1193.8,53.6,731.6,198.1,13.53,36.5,96.0,48.3,80.3,11.66
Potato,Great Plains,Black Soil,Summer,6.56,18.4,1059.5,51.5,853.9,56.8,13.52,8.2,143.3,73.1,69.8,12.07
Rice,Midwest,Silt Loam,Autumn,5.66,28.4,489.7,43.8,701.3,226.5,2.9,34.3,151.0,29.1,86.2,3.55
Potato,Delta Region,Sandy Loam,Autumn,7.78,26.9,1731.2,41.6,444.3,260.4,16.21,17.8,93.7,37.0,57.6,13.71
Potato,Central Valley,Loamy,Rabi,7.78,22.1,1373.8,64.6,207.6,214.6,12.4,28.3,108.2,22.7,87.5,13.53
Soybean,Delta Region,Alluvial,Autumn,6.63,33.1,1084.7,59.6,495.8,273.3,2.2,29.0,126.4,39.7,117.8,2.13
Corn,Central Valley,Loamy,Autumn,7.71,23.0,1426.0,41.3,813.1,128.5,5.64,3.2,53.6,39.2,55.7,4.9
Corn,Central Valley,Alluvial,Rabi,7.14,27.9,1670.1,43.3,343.9,127.6,4.45,13.1,42.8,37.8,66.1,4.39
Cotton,Great Plains,Black Soil,Autumn,6.0,29.9,1202.6,89.3,402.2,139.8,1.86,45.2,120.2,71.6,30.0,1.7
Soybean,Midwest,Sandy Loam,Spring,7.49,22.8,1241.5,58.2,448.8,164.3,2.12,25.6,158.6,70.1,104.0,2.03
Tomato,Midwest,Sandy Loam,Summer,8.19,24.0,677.5,77.1,173.6,244.2,15.3,3.3,53.3,38.6,26.7,15.44
Cotton,Delta Region,Silt Loam,Spring,7.59,29.0,787.7,80.2,446.3,174.2,2.29,11.3,68.0,43.2,82.5,2.02
Potato,Pacific Northwest,Black Soil,Rabi,7.08,26.3,620.5,65.0,628.6,239.5,13.26,44.2,171.3,33.8,83.8,13.91
Cotton,Delta Region,Silt Loam,Autumn,5.38,20.0,1020.6,52.0,697.1,226.1,2.18,36.6,158.2,43.7,106.0,1.92
Rice,Pacific Northwest,Clay,Spring,6.06,19.2,1345.9,51.8,290.8,84.5,3.83,14.1,43.9,70.8,51.1,3.47
Potato,Delta Region,Silt Loam,Spring,5.31,19.2,547.8,52.9,742.8,201.5,16.02,32.7,64.6,74.7,116.4,14.93
Potato,Central Valley,Loamy,Kharif,6.09,17.3,1734.9,84.8,637.3,253.7,16.45,16.4,95.6,73.8,104.3,15.47
Wheat,Central Valley,Black Soil,Autumn,6.77,32.6,1727.0,86.6,301.4,253.4,3.7,46.7,73.3,23.6,100.7,3.14
Corn,Delta Region,Alluvial,Spring,7.43,34.7,666.1,45.3,271.3,113.1,5.51,40.5,97.2,75.4,25.6,4.8
Tomato,Southeast,Alluvial,Kharif,6.47,29.7,1746.8,84.0,849.6,133.5,23.6,16.5,140.2,72.5,22.1,19.47
Tomato,Central Valley,Alluvial,Kharif,7.57,20.8,1151.5,55.5,866.8,133.5,22.69,34.8,153.7,23.5,106.7,18.49
Cotton,Great Plains,Silt Loam,Kharif,6.38,35.6,720.5,44.5,758.2,104.2,1.62,45.6,69.5,77.3,111.6,1.65
Soybean,Southeast,Alluvial,Spring,6.02,17.6,1480.2,64.6,689.6,263.1,2.09,39.7,86.6,44.6,111.9,2.07
Rice,Midwest,Alluvial,Summer,6.26,28.0,1529.5,76.9,462.6,56.3,4.1,25.8,47.3,59.9,83.0,3.65
Cotton,Pacific Northwest,Clay,Kharif,7.08,22.3,469.2,47.9,513.1,273.0,1.79,20.6,156.3,68.4,104.7,1.96
Soybean,Great Plains,Sandy Loam,Spring,7.41,21.2,1346.8,81.3,739.6,95.7,2.77,24.4,98.0,27.7,107.6,2.22
Cotton,Delta Region,Clay,Kharif,7.97,28.9,1258.6,85.3,879.3,95.6,1.81,47.5,138.2,26.8,60.1,1.62
Potato,Delta Region,Sandy Loam,Rabi,6.3,34.9,520.2,75.9,448.1,261.6,15.83,5.4,103.5,62.2,31.9,13.73
Soybean,Midwest,Clay,Summer,6.68,18.6,1591.7,70.0,896.2,115.1,2.12,15.1,134.8,44.3,60.9,1.85
Wheat,Central Valley,Sandy Loam,Summer,6.55,21.0,1195.2,72.4,168.6,157.8,3.39,12.5,162.0,83.2,59.8,3.37
Wheat,Pacific Northwest,Silt Loam,Spring,5.97,17.9,435.2,56.6,287.9,258.9,2.97,37.1,179.5,80.8,116.7,3.28
Tomato,Pacific Northwest,Alluvial,Kharif,6.71,23.6,1767.4,73.6,205.8,255.2,14.69,1.3,45.8,27.6,37.0,15.65
Potato,Southeast,Silt Loam,Rabi,7.33,24.7,727.6,55.7,882.8,164.8,14.99,5.4,176.3,34.7,56.1,15.38
Potato,Southeast,Sandy Loam,Autumn,7.98,26.3,981.9,48.2,689.5,163.0,18.16,41.6,173.0,53.9,112.3,14.18
Soybean,Great Plains,Loamy,Rabi,5.89,16.7,727.3,75.3,449.1,278.9,2.56,8.3,169.8,17.9,55.7,2.31
Soybean,Delta Region,Silt Loam,Spring,7.74,33.3,529.3,44.7,794.5,91.6,2.14,25.2,63.6,50.6,47.3,2.09
Soybean,Delta Region,Clay,Autumn,5.21,31.3,611.8,86.0,296.9,164.6,2.42,49.9,53.2,38.0,48.4,2.02
Soybean,Central Valley,Silt Loam,Summer,8.05,32.7,573.0,44.1,764.6,201.7,2.69,29.9,103.6,81.9,79.4,2.35
Rice,Southeast,Loamy,Autumn,6.17,30.6,1414.8,87.9,555.3,98.6,3.44,47.6,46.8,60.1,52.3,3.59
Rice,Pacific Northwest,Loamy,Autumn,6.34,24.0,608.1,88.3,792.4,70.5,4.08,47.6,159.3,26.4,97.9,4.0
Corn,Pacific Northwest,Alluvial,Rabi,6.67,24.6,1519.2,55.5,648.0,80.2,4.22,6.9,133.2,73.2,71.3,4.19
Potato,Great Plains,Silt Loam,Spring,7.0,17.8,962.7,58.4,249.1,195.1,14.44,14.2,53.0,50.9,117.3,15.58
Soybean,Midwest,Alluvial,Rabi,6.78,28.9,471.8,63.4,163.3,234.4,2.38,46.6,82.1,83.9,88.4,2.27
Corn,Midwest,Black Soil,Spring,5.34,17.5,415.4,45.4,439.9,71.7,5.13,15.5,132.5,54.8,45.3,3.91
Corn,Delta Region,Loamy,Autumn,7.42,25.3,1490.0,82.1,136.2,145.7,5.39,1.8,138.6,37.0,92.4,4.63
Cotton,Pacific Northwest,Silt Loam,Autumn,6.22,34.4,1524.5,50.6,162.6,275.9,1.7,40.6,76.3,62.1,63.4,1.66
Rice,Central Valley,Silt Loam,Kharif,7.17,25.2,937.4,72.9,695.4,217.0,3.06,1.7,82.4,71.9,81.7,3.77
Soybean,Pacific Northwest,Alluvial,Spring,5.46,18.7,626.7,80.8,656.8,93.3,2.05,40.4,43.8,48.7,34.5,2.03
Wheat,Great Plains,Alluvial,Autumn,6.1,25.3,1037.3,41.1,232.9,85.1,3.18,10.4,138.4,82.5,67.1,3.09
Cotton,Great Plains,Black Soil,Rabi,6.91,32.7,423.8,40.4,604.3,214.0,1.82,10.9,177.1,74.4,93.7,1.7
Tomato,Pacific Northwest,Black Soil,Summer,6.4,26.3,1400.7,86.8,824.1,249.6,20.69,2.8,72.5,19.2,21.9,18.57
Tomato,Southeast,Black Soil,Kharif,7.14,33.8,519.6,71.1,616.9,153.1,13.8,14.1,101.1,26.3,92.6,15.54
Potato,Southeast,Silt Loam,Rabi,6.96,29.7,1686.5,82.7,672.2,157.7,17.76,25.9,163.6,65.6,59.0,15.19
Potato,Pacific Northwest,Alluvial,Summer,7.6,32.9,1251.7,54.1,699.4,203.4,13.74,40.0,58.1,29.0,80.6,12.68
Rice,Great Plains,Silt Loam,Summer,6.87,36.0,870.2,53.0,641.5,90.2,3.62,12.5,160.3,50.2,100.7,3.92
Corn,Great Plains,Loamy,Autumn,6.89,25.7,1790.8,79.2,715.5,227.1,4.86,12.1,118.0,77.7,105.3,4.76
Cotton,Delta Region,Black Soil,Kharif,7.98,24.8,1012.8,82.1,188.7,74.4,2.08,35.6,125.5,69.8,114.7,1.82
Cotton,Delta Region,Loamy,Autumn,7.09,33.4,1670.9,47.9,333.7,151.5,1.73,6.2,110.8,66.3,29.9,1.65
Soybean,Southeast,Sandy Loam,Rabi,5.81,35.4,1465.4,40.3,767.9,158.9,2.18,7.0,80.1,27.0,46.6,1.97
Soybean,Great Plains,Sandy Loam,Rabi,7.46,24.4,680.9,80.1,430.7,144.1,2.44,8.4,104.2,74.7,99.5,2.22
Corn,Central Valley,Silt Loam,Rabi,7.35,26.3,450.9,56.9,421.3,227.6,5.11,38.7,100.8,42.5,23.7,4.85
Soybean,Midwest,Black Soil,Kharif,8.14,32.0,1619.9,88.6,435.4,253.7,2.23,48.9,138.1,76.1,92.2,1.86
Corn,Southeast,Loamy,Summer,7.03,18.9,935.7,72.2,810.1,193.6,5.23,45.1,126.5,46.0,54.5,4.89
Cotton,Pacific Northwest,Silt Loam,Rabi,5.45,26.7,915.5,75.9,803.9,169.7,2.07,44.2,115.7,30.0,71.2,1.66
Corn,Delta Region,Sandy Loam,Rabi,7.87,26.8,725.1,81.6,343.2,147.2,6.04,2.1,110.7,66.2,104.2,4.88
Corn,Pacific Northwest,Black Soil,Summer,7.47,34.8,1000.7,68.6,104.2,128.0,5.36,7.1,73.1,67.2,78.2,4.49
Soybean,Pacific Northwest,Alluvial,Autumn,5.9,22.0,1317.0,80.8,558.2,82.2,2.4,42.4,92.9,66.6,30.5,2.17
Tomato,Delta Region,Clay,Summer,5.64,24.5,947.5,44.6,439.9,79.9,16.32,23.3,70.1,20.5,87.7,17.81
Potato,Delta Region,Black Soil,Autumn,7.82,27.7,1272.9,89.8,651.2,268.0,14.09,39.2,142.4,44.2,36.3,12.99
Tomato,Midwest,Silt Loam,Spring,7.31,33.3,521.2,50.6,478.7,221.7,20.35,7.3,172.2,40.9,115.2,18.79
Tomato,Great Plains,Loamy,Kharif,6.07,26.5,520.7,55.2,399.6,117.6,18.41,19.1,43.9,25.0,98.4,18.76
Potato,Central Valley,Sandy Loam,Summer,7.66,25.8,527.4,57.4,796.3,146.0,19.73,11.6,120.2,54.6,110.0,15.24
Cotton,Great Plains,Silt Loam,Autumn,5.62,28.7,1454.4,73.4,219.2,217.4,1.85,7.5,52.5,58.7,82.4,1.89
Potato,Midwest,Silt Loam,Summer,8.07,33.8,1417.1,72.3,792.8,212.7,16.9,27.5,120.1,70.7,90.7,14.44
Tomato,Pacific Northwest,Loamy,Autumn,8.07,26.8,1448.5,87.9,517.4,222.6,19.72,5.2,110.4,16.3,85.8,16.58
Tomato,Midwest,Loamy,Summer,5.94,30.1,1637.1,62.2,745.5,189.6,22.41,39.6,96.3,18.1,106.2,18.47
Rice,Southeast,Silt Loam,Rabi,7.78,22.3,722.9,45.7,179.5,88.7,3.97,21.3,60.2,32.9,29.0,3.59
Corn,Great Plains,Alluvial,Rabi,8.08,19.6,1384.3,54.9,179.0,82.8,4.56,3.9,165.0,33.1,114.2,4.24
Rice,Central Valley,Clay,Rabi,6.96,25.9,1441.0,59.3,192.1,63.9,3.98,37.9,105.1,43.5,68.4,3.83
Potato,Pacific Northwest,Clay,Kharif,8.09,29.5,707.2,67.7,728.2,120.1,18.01,14.2,96.9,20.9,83.6,14.55
Wheat,Midwest,Sandy Loam,Autumn,7.55,26.8,964.4,85.6,461.4,50.2,3.08,49.3,105.1,73.1,48.9,2.93
Wheat,Central Valley,Loamy,Spring,5.95,29.6,1798.9,82.1,270.2,243.4,3.77,14.4,79.4,26.3,73.4,3.04
Rice,Southeast,Loamy,Spring,7.69,30.5,1798.3,83.9,268.7,166.1,4.14,35.2,152.3,76.9,114.5,3.84
Soybean,Southeast,Alluvial,Spring,7.19,22.4,655.4,87.9,362.8,260.2,2.1,14.4,58.7,79.6,80.9,2.36
Rice,Central Valley,Alluvial,Rabi,7.89,30.1,1455.6,66.9,729.8,199.3,3.71,21.2,50.9,17.2,103.2,3.54
Soybean,Great Plains,Alluvial,Kharif,7.64,32.5,869.1,48.9,714.4,210.3,2.14,18.3,41.2,47.4,113.6,2.09
Potato,Central Valley,Clay,Kharif,7.24,30.2,627.7,80.8,600.2,235.9,12.12,38.2,71.0,83.6,116.7,11.88
Rice,Southeast,Silt Loam,Autumn,5.79,32.4,924.3,83.5,555.3,163.6,4.71,11.2,117.2,61.2,76.6,3.88
Soybean,Delta Region,Black Soil,Rabi,5.58,17.3,726.5,68.5,282.4,170.3,1.87,4.2,149.5,28.4,87.8,1.77
Soybean,Pacific Northwest,Black Soil,Autumn,6.88,25.1,1709.9,72.0,854.5,61.9,1.99,13.4,171.4,45.3,119.5,1.89
Corn,Central Valley,Alluvial,Autumn,6.28,31.2,1631.5,51.2,322.3,146.6,5.73,23.9,102.8,15.4,39.5,5.15
Rice,Delta Region,Loamy,Rabi,6.47,17.5,712.5,48.2,348.6,194.0,3.41,48.9,53.5,48.6,100.8,4.01
Tomato,Pacific Northwest,Sandy Loam,Summer,6.62,35.2,1557.2,81.1,515.7,104.5,20.65,13.1,50.2,57.0,63.9,17.28
Rice,Pacific Northwest,Silt Loam,Autumn,8.12,34.3,897.2,84.5,654.7,230.0,2.38,7.1,48.7,71.2,25.5,3.29
Tomato,Pacific Northwest,Silt Loam,Kharif,5.37,17.0,1582.4,60.1,593.8,144.6,14.25,6.0,161.0,70.1,82.4,13.48
Potato,Great Plains,Silt Loam,Spring,7.06,22.8,1709.5,79.1,463.3,125.5,16.72,44.1,66.9,22.2,79.5,16.25
Rice,Delta Region,Clay,Autumn,6.73,23.1,1048.0,71.0,248.7,81.7,4.59,7.2,46.2,23.9,78.5,4.16
Tomato,Pacific Northwest,Sandy Loam,Summer,6.82,18.9,1030.8,70.2,332.9,273.2,19.61,29.6,112.5,61.0,34.5,18.71
Wheat,Delta Region,Black Soil,Kharif,5.79,20.0,1667.3,79.3,373.2,203.6,3.56,21.7,137.3,83.7,80.0,3.25
Corn,Delta Region,Black Soil,Summer,6.46,19.2,1008.7,79.5,133.8,100.5,4.67,31.2,40.5,30.6,43.0,4.51
Tomato,Midwest,Clay,Spring,8.06,22.6,1423.1,50.3,247.4,277.7,15.96,37.0,90.8,20.2,23.0,16.01
Rice,Midwest,Sandy Loam,Spring,6.96,31.3,413.7,41.5,258.3,90.1,2.84,10.5,164.0,65.3,54.0,3.19
Tomato,Midwest,Clay,Rabi,7.73,34.2,380.4,73.9,403.1,231.1,15.33,2.1,55.5,80.5,50.5,14.57
Wheat,Southeast,Sandy Loam,Rabi,8.13,36.0,1628.4,83.9,152.3,83.2,3.29,47.1,169.4,70.6,39.2,3.02
Potato,Pacific Northwest,Sandy Loam,Summer,8.13,20.9,417.0,70.8,251.3,173.2,16.5,30.4,150.5,37.9,25.3,12.99
Cotton,Southeast,Clay,Autumn,7.86,20.2,468.0,63.5,630.8,64.9,1.53,48.5,111.2,67.6,84.5,1.58
Tomato,Southeast,Silt Loam,Autumn,6.17,23.5,1357.0,75.8,495.8,111.7,15.35,23.7,96.1,79.5,78.4,16.95
Rice,Midwest,Clay,Rabi,5.9,20.4,966.3,58.9,225.8,243.8,4.11,23.2,75.6,20.9,95.2,3.6
